Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Tiny_URL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0,0,26,3,0,0,0,0,0,5,7753,7753,0,0,0,0,0
0,0,44,4,1,0,0,0,0,6,12706,12706,0,0,0,0,0
0,0,63,4,1,0,0,0,0,4,2190,2190,0,0,0,0,0
0,0,51,3,0,0,1,0,0,5,4478,4478,0,0,0,0,0
0,0,70,6,2,0,0,1,0,5,7696,7696,0,0,0,0,0
0,0,41,4,0,0,0,0,0,4,-1,-1,0,0,0,0,0
1,0,74,4,1,0,0,0,0,5,5615,5615,0,0,0,0,0
0,0,26,3,0,0,0,0,0,3,8018,8018,0,0,0,0,0
0,0,114,5,0,1,0,0,0,4,4093,4093,0,0,0,0,0
0,0,26,3,0,0,0,0,0,2,-1,-1,0,0,0,0,0
0,0,42,5,0,0,0,1,0,8,9897,9897,0,0,0,0,0
0,0,28,3,1,0,0,0,0,2,1352,1352,0,0,0,0,0
0,0,29,3,0,0,0,0,0,5,-1,-1,0,0,0,0,0
0,0,32,4,2,0,0,0,0,3,-1,-1,0,0,0,0,0
0,0,78,4,0,0,1,0,0,6,7596,7596,0,0,0,0,0
0,0,35,3,0,0,0,0,0,3,3345,3345,0,0,0,0,0
0,0,54,3,1,0,0,0,0,2,-1,-1,0,0,0,0,0
0,0,35,3,0,0,0,0,0,0,3047,3047,0,0,0,0,0
0,0,25,3,0,0,0,0,0,3,1549,1549,0,0,0,0,0
0,0,27,3,0,0,0,0,0,0,1626,1626,0,0,0,0,0
0,0,19,3,0,0,0,0,0,0,-1,-1,0,0,0,0,0
0,0,38,3,0,0,0,0,0,5,5098,5098,0,0,0,0,0
0,0,64,5,1,0,0,1,0,2,3167,3167,0,0,0,0,0
1,0,80,5,0,0,1,0,0,4,7785,7785,0,0,0,0,0
0,0,28,3,0,0,0,0,0,5,7555,7555,0,0,0,0,0
0,0,50,5,0,0,0,0,0,6,8045,8045,0,0,0,0,0
0,0,60,5,1,0,0,1,0,0,1408,1408,0,0,0,0,0
0,0,87,4,0,0,0,0,0,8,5222,5222,0,0,0,0,0
0,0,63,3,0,0,0,0,0,4,7534,7534,0,0,0,0,0
0,0,21,3,0,0,0,0,0,4,7714,7714,0,0,0,0,0
0,0,38,3,0,0,0,0,0,3,6636,6636,0,0,0,0,0
0,0,18,2,0,0,0,0,0,2,-1,-1,0,0,0,0,0
0,0,28,3,1,0,0,0,0,10,8349,8349,0,0,0,0,0
0,0,53,4,0,0,0,0,0,5,7371,7371,0,0,0,0,0
0,0,123,4,0,0,0,0,0,6,7380,7380,0,0,0,0,0
0,0,47,4,0,0,0,0,0,5,6723,6723,0,0,0,0,0
0,0,59,4,0,0,0,1,0,4,5280,5280,0,0,0,0,0
0,0,26,3,1,0,0,0,0,3,8704,8704,0,0,0,0,0
0,0,77,6,0,0,0,0,0,5,6216,6216,0,0,0,0,0
0,0,42,4,1,0,0,0,0,7,7266,7266,0,0,0,0,0
0,0,33,4,0,0,0,0,0,3,4805,4805,0,0,0,0,0
0,0,44,4,0,0,0,0,0,2,3081,3081,0,0,0,0,0
0,0,23,3,1,0,0,0,0,3,2101,2101,0,0,0,0,0
0,0,17,2,0,0,0,0,0,2,903,903,0,0,0,0,0
0,0,26,3,1,0,0,0,0,1,2063,2063,0,0,0,0,0
0,0,52,4,1,0,0,0,0,5,6673,6673,0,0,0,0,0
0,0,27,3,0,0,0,0,0,1,1846,1846,0,0,0,0,0
0,0,43,5,2,0,0,0,0,3,7159,7159,0,0,0,0,0
0,0,28,3,0,0,1,1,0,5,7297,7297,0,0,0,0,0
0,0,97,7,0,0,0,1,0,5,7969,7969,0,0,0,0,0
0,0,27,3,0,0,0,0,0,1,1617,1617,0,0,0,0,0
0,0,62,4,0,0,0,0,0,5,8683,8683,0,0,0,0,0
0,0,72,5,1,0,0,0,0,5,6344,6344,0,0,0,0,0
0,0,33,2,0,0,0,0,0,2,4180,4180,0,0,0,0,0
0,0,40,4,1,0,0,0,0,6,9202,9202,0,0,0,0,0
0,0,51,5,3,0,0,0,0,4,3727,3727,0,0,0,0,0
0,0,44,3,0,0,0,0,0,6,9486,9486,0,0,0,0,0
0,0,31,3,0,0,0,0,0,3,1259,1259,0,0,0,0,0
0,0,93,5,1,0,0,0,0,4,2230,2230,0,0,0,0,0
0,0,49,4,1,0,0,0,0,6,9201,9201,0,0,0,0,0
0,0,22,3,0,0,0,0,0,5,-1,-1,0,0,0,0,0
0,0,45,4,0,0,0,0,0,5,-1,-1,0,0,0,0,0
0,0,40,2,0,0,0,0,0,2,4274,4274,0,0,0,0,0
0,0,152,3,0,0,0,0,0,7,7422,7422,0,0,0,0,0
0,0,51,5,1,0,0,0,0,2,5440,5440,0,0,0,0,0
0,0,49,3,1,0,0,0,0,6,6256,6256,0,0,0,0,0
0,0,46,4,0,0,0,1,0,4,2879,2879,0,0,0,0,0
0,0,31,3,0,0,0,0,0,10,8520,8520,0,0,0,0,0
0,0,45,4,1,0,0,0,0,6,8831,8831,0,0,0,0,0
0,0,36,3,0,0,0,0,0,8,7449,7449,0,0,0,0,0
0,0,56,4,0,0,0,0,0,4,3232,3232,0,0,0,0,0
0,0,54,4,1,0,0,0,0,5,6672,6672,0,0,0,0,0
0,0,29,3,0,0,0,0,0,2,1991,1991,0,0,0,0,0
0,0,46,3,1,0,0,0,0,7,5230,5230,0,0,0,0,0
0,0,53,3,1,0,0,0,0,6,5883,5883,0,0,0,0,0
1,0,64,6,0,0,0,0,0,5,7685,7685,0,0,0,0,0
0,0,29,3,0,0,0,0,0,4,3097,3097,0,0,0,0,0
0,0,47,4,1,0,0,0,0,6,7403,7403,0,0,0,0,0
0,0,37,3,0,0,0,0,0,8,7448,7448,0,0,0,0,0
0,0,42,5,1,0,0,0,0,6,9247,9247,0,0,0,0,0
0,0,15,2,1,0,0,0,0,0,1617,1617,0,0,0,0,0
1,0,44,4,1,0,0,0,0,4,2595,2595,0,0,0,0,0
0,0,71,4,0,0,0,1,0,4,8705,8705,0,0,0,0,0
0,0,48,4,1,0,0,0,0,5,8125,8125,0,0,0,0,0
0,0,29,2,0,0,1,0,0,5,5200,5200,0,0,0,0,0
1,0,71,5,0,0,0,0,0,7,6693,6693,0,0,0,0,0
0,0,32,3,0,0,1,0,0,5,7299,7299,0,0,0,0,0
0,0,26,3,0,0,0,0,0,0,1341,1341,0,0,0,0,0
0,0,34,3,1,0,0,0,0,4,3876,3876,0,0,0,0,0
1,0,115,5,2,0,0,0,0,2,134,134,0,0,0,0,0
0,0,74,4,1,0,0,0,0,6,8350,8350,0,0,0,0,0
0,0,18,2,0,0,0,0,0,3,4174,4174,0,0,0,0,0
0,0,62,5,0,0,0,1,0,5,7881,7881,0,0,0,0,0
0,0,56,4,1,0,0,0,0,5,6400,6400,0,0,0,0,0
0,0,27,3,1,0,0,0,0,5,6879,6879,0,0,0,0,0
1,0,552,5,0,1,1,0,0,4,6588,6588,0,0,0,0,0
0,0,110,6,0,0,0,0,0,8,10106,10106,0,0,0,0,0
0,0,32,3,1,0,1,0,0,3,2447,2447,0,0,0,0,0
0,0,99,5,0,0,0,0,0,8,7446,7446,0,0,0,0,0
0,0,19,3,0,0,0,0,0,5,9557,9557,0,0,0,0,0
